intelligent esprit stupide ignorant
gauche droite haut bas
Paris France Allemagne Berlin
chien animal félin chat
Paris France Allemagne Berlin
soleil jour lune nuit
Paris France Allemagne Berlin
manger mangé boire bu
voiture route bateau mer
vite rapide lent lentement
gauche droite haut bas
soleil jour lune nuit
amour haine joie tristesse
amour haine joie tristesse
France français allemand Allemagne
gauche droite haut bas
chaud froid brûlant glacé
roi souverain reine monarque
terre planète eau océan
soleil jour lune nuit
amour haine joie tristesse
vite rapide lent lentement
terre planète eau océan
manger mangé boire bu
chien animal félin chat
soleil jour lune nuit
rapide vitesse lent lenteur
voiture route bateau mer
manger mangé boire bu
beau joli laid moche
beau joli laid moche
grand petit mince épais
rouge couleur bleu ciel
grand petit mince épais
fort puissant faible fragile
amour haine joie tristesse
fort puissant faible fragile
Paris France Allemagne Berlin
voiture route bateau mer
beau joli laid moche
beau joli laid moche
amour haine joie tristesse
rouge couleur bleu ciel
soleil jour lune nuit
grand petit mince épais
terre planète eau océan
grand petit mince épais
rouge couleur bleu ciel
chaud froid brûlant glacé
chien animal félin chat
roi homme femme reine
roi homme femme reine
amour haine joie tristesse
soleil jour lune nuit
voiture route bateau mer
chien animal félin chat
beau joli laid moche
terre planète eau océan
Paris France Allemagne Berlin
rouge couleur bleu ciel
fort puissant faible fragile
France français allemand Allemagne
haut élevé bas inférieur
vite rapide lent lentement
beau joli laid moche
voiture route bateau mer
haut élevé bas inférieur
grand petit mince épais
manger mangé boire bu
chien animal félin chat
Paris France Allemagne Berlin
vite rapide lent lentement
roi homme femme reine
amour haine joie tristesse
Paris France Allemagne Berlin
fort puissant faible fragile
roi homme femme reine
haut élevé bas inférieur
vite rapide lent lentement
beau joli laid moche
rapide vitesse lent lenteur
chien animal félin chat
fort puissant faible fragile
roi homme femme reine
voiture route bateau mer
roi souverain reine monarque
chien animal félin chat
roi souverain reine monarque
vite rapide lent lentement
haut élevé bas inférieur
gauche droite haut bas
terre planète eau océan
vite rapide lent lentement
fort puissant faible fragile
soleil jour lune nuit
Paris France Allemagne Berlin
terre planète eau océan
fort puissant faible fragile
gauche droite haut bas
roi homme femme reine
